~/code$ binwalk -B sd_card_PRS-T1_1.0.07_adb_enabled.bin

DECIMAL       HEXADECIMAL     DESCRIPTION
--------------------------------------------------------------------------------
3921          0xF51           Unix path: /home/hudson/slave/workspace/build_sydney_gen_pwr3_production/bootable/bootloader/uboot-imx/cpu/arm_cortexa8
137388        0x218AC         CRC32 polynomial table, little endian
169017        0x29439         Unix path: /opt/eldk/arm
1048576       0x100000        uImage header, header size: 64 bytes, header CRC: 0xC62947B6, created: 2014-05-07 06:23:24, image size: 2288064 bytes, Data Address: 0x70008000, Entry Point: 0x70008000, data CRC: 0xE71034E4, OS: Linux, CPU: ARM, image type: OS Kernel Image, compression type: none, image name: "Normal Kernel"
1048640       0x100040        Linux kernel ARM boot executable zImage (little-endian)
1065353       0x104189        gzip compressed data, maximum compression, from Unix, last modified: 2014-05-07 06:03:56
5242880       0x500000        uImage header, header size: 64 bytes, header CRC: 0x81959F98, created: 2020-04-26 18:13:04, image size: 286848 bytes, Data Address: 0x70308000, Entry Point: 0x70308000, data CRC: 0x47F3B07F, OS: Linux, CPU: ARM, image type: RAMDisk Image, compression type: none, image name: "Normal Rootfs"
5242944       0x500040        gzip compressed data, from Unix, last modified: 2020-04-26 18:11:40
6291456       0x600000        uImage header, header size: 64 bytes, header CRC: 0x91DDBCA9, created: 2011-09-27 00:54:19, image size: 2284836 bytes, Data Address: 0x70008000, Entry Point: 0x70008000, data CRC: 0xCB85C7A2, OS: Linux, CPU: ARM, image type: OS Kernel Image, compression type: none, image name: "Recovery Kernel"
6291520       0x600040        Linux kernel ARM boot executable zImage (little-endian)
6308233       0x604189        gzip compressed data, maximum compression, from Unix, last modified: 2011-09-27 00:34:34
16122880      0xF60400        PEM RSA private key
20950321      0x13FAD31       Unix path: /sys/class/rfkill/rfkill0/type) failed: No such file or directory (2)
20955380      0x13FC0F4       Unix path: /dev/block/vold/179:9 does not contain a FAT filesystem
20955567      0x13FC1AF       Unix path: /dev/block/vold/179:8 does not contain a FAT filesystem
21193781      0x1436435       Unix path: /dev/block/vold/179:9 does not contain a FAT filesystem
21193968      0x14364F0       Unix path: /dev/block/vold/179:8 does not contain a FAT filesystem
21226147      0x143E2A3       Unix path: /dev/block/vold/179:9 does not contain a FAT filesystem
21226334      0x143E35E       Unix path: /dev/block/vold/179:8 does not contain a FAT filesystem
21275250      0x144A272       Unix path: /dev/block/vold/179:9 does not contain a FAT filesystem
21275437      0x144A32D       Unix path: /dev/block/vold/179:8 does not contain a FAT filesystem
21394155      0x14672EB       Intel x86 or x64 microcode, sig 0x6e72654b, pf_mask 0x206f4e20, 2090-04-29, rev 0x-7c000000, size 1919903264
23794958      0x16B150E       Unix path: /dev/block/vold/179:9 does not contain a FAT filesystem
23795145      0x16B15C9       Unix path: /dev/block/vold/179:8 does not contain a FAT filesystem
23820741      0x16B79C5       Unix path: /dev/block/vold/179:10 does not contain a FAT filesystem
23821173      0x16B7B75       Unix path: /dev/block/vold/179:9 does not contain a FAT filesystem
23821360      0x16B7C30       Unix path: /dev/block/vold/179:8 does not contain a FAT filesystem
23840940      0x16BC8AC       Unix path: /dev/block/vold/179:10 does not contain a FAT filesystem
23841128      0x16BC968       Unix path: /dev/block/vold/179:9 does not contain a FAT filesystem
23841315      0x16BCA23       Unix path: /dev/block/vold/179:8 does not contain a FAT filesystem
23877426      0x16C5732       Unix path: /dev/block/vold/179:9 does not contain a FAT filesystem
23877613      0x16C57ED       Unix path: /dev/block/vold/179:8 does not contain a FAT filesystem
23931364      0x16D29E4       Unix path: /dev/block/vold/179:9 does not contain a FAT filesystem
23931551      0x16D2A9F       Unix path: /dev/block/vold/179:8 does not contain a FAT filesystem
23990688      0x16E11A0       Unix path: /dev/block/vold/179:9 does not contain a FAT filesystem
23990875      0x16E125B       Unix path: /dev/block/vold/179:8 does not contain a FAT filesystem
24027527      0x16EA187       Unix path: /sys/class/rfkill/rfkill0/type) failed: No such file or directory (2)
