rootfs on / type rootfs (rw)
proc on /proc type proc (rw,relatime)
sysfs on /sys type sysfs (rw,relatime)
devtmpfs on /dev type devtmpfs (rw,relatime,size=10240k,nr_inodes=62612,mode=755)
tmpfs on /tmp type tmpfs (rw,relatime,size=16384k)
devpts on /dev/pts type devpts (rw,relatime,mode=600)
/dev/mmcblk0p2 on /recoveryfs-part type ext4 (ro,nosuid,relatime,user_xattr,barrier=1,data=ordered)
/dev/mmcblk0p3 on /rootfs-part type ext4 (rw,nosuid,relatime,user_xattr,barrier=1,data=ordered)
/dev/loop1 on /overlaymount-rootfs type squashfs (ro,relatime)
devtmpfs on /overlaymount-rootfs/dev type devtmpfs (rw,relatime,size=10240k,nr_inodes=62612,mode=755)
sysfs on /overlaymount-rootfs/sys type sysfs (rw,relatime)
tmpfs on /overlaymount-rootfs/mnt type tmpfs (rw,relatime)
proc on /overlaymount-rootfs/proc type proc (rw,relatime)
/dev/mmcblk0p3 on /overlaymount-rootfs/mnt/rootfs-part type ext4 (rw,nosuid,relatime,user_xattr,barrier=1,data=ordered)
/dev/mmcblk0p3 on /overlaymount-rootfs/mnt/rootfs type ext4 (rw,nosuid,relatime,user_xattr,barrier=1,data=ordered)
squashfuse on /overlaymount-rootfs/mnt/rootfs/read type fuse.squashfuse (rw,nosuid,nodev,relatime,user_id=0,group_id=0)
fuse-overlayfs on / type fuse.fuse-overlayfs (ro,nodev,noatime,user_id=0,group_id=0,default_permissions,allow_other)
tmpfs on /opt/inkbox_device type tmpfs (rw,relatime,size=16384k)
fuse-overlayfs on /opt/bin/fbink/fbink type fuse.fuse-overlayfs (ro,nodev,noatime,user_id=0,group_id=0,default_permissions,allow_other)
fuse-overlayfs on /opt/bin/fbink/fbdepth type fuse.fuse-overlayfs (ro,nodev,noatime,user_id=0,group_id=0,default_permissions,allow_other)
tmpfs on /etc/hostname type tmpfs (rw,relatime,size=16384k)
/dev/mmcblk0p1 on /boot type ext4 (rw,relatime,user_xattr,barrier=1,data=ordered)
tmpfs on /root type tmpfs (rw,relatime,size=8192k)
tmpfs on /etc/passwd type tmpfs (rw,relatime,size=16384k)
/dev/mmcblk0p4 on /opt/storage type ext4 (rw,relatime,user_xattr,barrier=1,data=ordered)
/dev/mmcblk0p4 on /opt/config type ext4 (rw,relatime,user_xattr,barrier=1,data=ordered)
/dev/mmcblk0p4 on /opt/update type ext4 (rw,relatime,user_xattr,barrier=1,data=ordered)
