kobo:/mnt/onboard/onboard/.apps/Sanki# cat /proc/mounts 
fuse-overlayfs / fuse.fuse-overlayfs rw,nodev,noatime,user_id=0,group_id=0,default_permissions,allow_other 0 0
/dev/loop0 /mnt/onboard/onboard vfat rw,nodev,noexec,relatime,fmask=0022,dmask=0022,codepage=437,iocharset=iso8859-1,shortname=mixed,errors=remount-ro 0 0
tmpfs /opt/ibxd tmpfs rw,nodev,relatime,size=25016k,mode=755 0 0
squashfuse /mnt/onboard/.adds/inkbox fuse.squashfuse rw,nosuid,nodev,relatime,user_id=0,group_id=0 0 0
/dev/mmcblk0p4 /mnt/onboard/.adds/inkbox/.config ext4 rw,relatime,data=ordered 0 0
squashfuse /mnt/onboard/.adds/qt-linux-5.15.2-kobo fuse.squashfuse rw,nosuid,nodev,relatime,user_id=0,group_id=0 0 0
squashfuse /mnt/onboard/.adds/Python-3.9.2 fuse.squashfuse rw,nosuid,nodev,relatime,user_id=0,group_id=0 0 0
fuse-overlayfs /mnt/onboard/.adds/qt-linux-5.15.2-kobo/plugins/platforms/libkobo.so fuse.fuse-overlayfs ro,nodev,noatime,user_id=0,group_id=0,default_permissions,allow_other 0 0
fuse-overlayfs /mnt/onboard/.adds/inkbox/eink.qss fuse.fuse-overlayfs ro,nodev,noatime,user_id=0,group_id=0,default_permissions,allow_other 0 0
sysfs /sys sysfs rw,relatime 0 0
proc /proc proc rw,relatime 0 0
tmpfs /tmp tmpfs rw,relatime,size=131072k 0 0
devtmpfs /dev devtmpfs rw,nosuid,relatime,size=10240k,nr_inodes=30319,mode=755 0 0
devpts /dev/pts devpts rw,nosuid,noexec,relatime,gid=5,mode=620 0 0
fuse-overlayfs /external_root fuse.fuse-overlayfs ro,nodev,noatime,user_id=0,group_id=0,default_permissions,allow_other 0 0
devtmpfs /external_root/dev devtmpfs rw,nosuid,relatime,size=10240k,nr_inodes=30319,mode=755 0 0
devpts /external_root/dev/pts devpts rw,nosuid,noexec,relatime,gid=5,mode=620 0 0
proc /external_root/proc proc rw,relatime 0 0
tmpfs /external_root/tmp tmpfs rw,relatime,size=16384k 0 0
tmpfs /external_root/run tmpfs rw,nodev,relatime,size=25016k,mode=755 0 0
fuse-overlayfs /external_root/var fuse.fuse-overlayfs ro,nodev,noatime,user_id=0,group_id=0,default_permissions,allow_other 0 0
tmpfs /external_root/var/log tmpfs rw,relatime,size=8192k 0 0
tmpfs /external_root/var/db/dhcpcd tmpfs rw,nosuid,nodev,noexec,relatime,size=512k 0 0
/dev/mmcblk0p4 /external_root/var/db/dhcpcd/duid ext4 rw,relatime,data=ordered 0 0
squashfuse /external_root/opt/isa fuse.squashfuse rw,nosuid,nodev,relatime,user_id=0,group_id=0 0 0
/dev/loop7 /external_root/opt/root squashfs ro,nosuid,nodev,noexec,relatime 0 0
/dev/mmcblk0p4 /external_root/opt/update ext4 rw,relatime,data=ordered 0 0
/dev/mmcblk0p4 /external_root/opt/storage ext4 rw,relatime,data=ordered 0 0
fuse-overlayfs /usr/share/zoneinfo fuse.fuse-overlayfs ro,nodev,noatime,user_id=0,group_id=0,default_permissions,allow_other 0 0
fuse-overlayfs /etc/localtime fuse.fuse-overlayfs ro,nodev,noatime,user_id=0,group_id=0,default_permissions,allow_other 0 0
fuse-overlayfs /opt/version fuse.fuse-overlayfs ro,nodev,noatime,user_id=0,group_id=0,default_permissions,allow_other 0 0
fuse-overlayfs /bin/kobo_config.sh fuse.fuse-overlayfs ro,nodev,noatime,user_id=0,group_id=0,default_permissions,allow_other 0 0
tmpfs /opt/inkbox_device tmpfs rw,relatime,size=16384k 0 0
tmpfs /external_root/opt/inkbox_device tmpfs rw,relatime,size=16384k 0 0
fuse-overlayfs /external_root/opt/X11/extensions_folders_list fuse.fuse-overlayfs ro,nodev,noatime,user_id=0,group_id=0,default_permissions,allow_other 0 0
fuse-overlayfs /external_root/opt/X11/extensions_list fuse.fuse-overlayfs ro,nodev,noatime,user_id=0,group_id=0,default_permissions,allow_other 0 0
fuse-overlayfs /external_root/opt/X11/nographic_extensions_folders_list fuse.fuse-overlayfs ro,nodev,noatime,user_id=0,group_id=0,default_permissions,allow_other 0 0
fuse-overlayfs /external_root/opt/X11/nographic_extensions_list fuse.fuse-overlayfs ro,nodev,noatime,user_id=0,group_id=0,default_permissions,allow_other 0 0
/dev/mmcblk0p1 /external_root/boot ext4 rw,relatime,data=ordered 0 0
tmpfs /tmp/resolv.conf tmpfs rw,relatime,size=16384k 0 0
tmpfs /inkbox tmpfs rw,relatime 0 0
tmpfs /run tmpfs rw,relatime,size=131072k 0 0
