```
fuse-overlayfs  115M   85M   21M  81% /
tmpfs            16M   20K   16M   1% /etc/passwd
/dev/mmcblk0p1   13M   23K   12M   1% /boot
tmpfs           8.0M  4.0K  8.0M   1% /root
/dev/mmcblk0p4   14G   12G  1.4G  90% /opt/storage
/dev/loop7      1.0M  1.0M     0 100% /opt/root
/dev/loop6      1.0M  1.0M     0 100% /opt/key
/dev/loop5      1.0M  1.0M     0 100% /lib/modules
devtmpfs         10M     0   10M   0% /dev
tmpfs            16M   72K   16M   1% /tmp
tmpfs           8.0M  316K  7.7M   4% /var/log
tmpfs           128K     0  128K   0% /opt/developer
tmpfs           512K     0  512K   0% /var/db/dhcpcd
squashfuse       25M   25M     0 100% /opt/gui_rootfs/read
tmpfs            25M  168K   25M   1% /run
shm             123M     0  123M   0% /dev/shm
/dev/loop0      9.8G  544M  9.3G   6% /data/onboard
tmpfs           8.0K     0  8.0K   0% /run/ipd
fuse-overlayfs   14G   12G  1.4G  90% /kobo
squashfuse       41M   41M     0 100% /opt/isa
squashfuse       17M   17M     0 100% /kobo/mnt/onboard/.adds/inkbox
squashfuse       25M   25M     0 100% /kobo/mnt/onboard/.adds/qt-linux-5.15.2-kobo
squashfuse      1.0M  1.0M     0 100% /data/onboard/.apps/Conway/Conway
tmpfs            64K     0   64K   0% /data/onboard/.apps/Conway/Conway/dev
tmpfs            64K  8.0K   56K  13% /data/onboard/.apps/Conway/Conway/etc
tmpfs            32M     0   32M   0% /data/onboard/.apps/Conway/Conway/app-temp
tmpfs            64K     0   64K   0% /data/onboard/.apps/Conway/Conway/system-lib
tmpfs            64K     0   64K   0% /data/onboard/.apps/Conway/Conway/system-bin
tmpfs            64K  4.0K   60K   7% /data/onboard/.apps/Conway/Conway/mnt
squashfuse       15M   15M     0 100% /data/onboard/.apps/feathernotes/feathernotes
tmpfs            64K     0   64K   0% /data/onboard/.apps/feathernotes/feathernotes/dev
tmpfs            64K  8.0K   56K  13% /data/onboard/.apps/feathernotes/feathernotes/etc
tmpfs            32M     0   32M   0% /data/onboard/.apps/feathernotes/feathernotes/app-temp
tmpfs            64K     0   64K   0% /data/onboard/.apps/feathernotes/feathernotes/system-lib
tmpfs            64K     0   64K   0% /data/onboard/.apps/feathernotes/feathernotes/system-bin
tmpfs            64K  4.0K   60K   7% /data/onboard/.apps/feathernotes/feathernotes/mnt
tmpfs           128M   12K  128M   1% /kobo/tmp
tmpfs           123M     0  123M   0% /kobo/inkbox
tmpfs           128M  8.0K  128M   1% /kobo/run
```
