kobo:~# mount
fuse-overlayfs on / type fuse.fuse-overlayfs (ro,nodev,noatime,user_id=0,group_id=0,default_permissions,allow_other)
tmpfs on /opt/inkbox_device type tmpfs (rw,relatime,size=16384k)
tmpfs on /etc/hostname type tmpfs (rw,relatime,size=16384k)
/dev/mmcblk0p1 on /boot type ext4 (rw,relatime,data=ordered)
tmpfs on /root type tmpfs (rw,relatime,size=8192k)
tmpfs on /etc/passwd type tmpfs (rw,relatime,size=16384k)
/dev/mmcblk0p4 on /opt/storage type ext4 (rw,relatime,data=ordered)
/dev/mmcblk0p4 on /opt/config type ext4 (rw,relatime,data=ordered)
/dev/mmcblk0p4 on /opt/update type ext4 (rw,relatime,data=ordered)
/dev/mmcblk0p4 on /opt/X11/rootfs type ext4 (rw,relatime,data=ordered)
/dev/mmcblk0p4 on /opt/gui_rootfs type ext4 (rw,relatime,data=ordered)
/dev/mmcblk0p4 on /etc/ssh type ext4 (rw,relatime,data=ordered)
tmpfs on /etc/ssh/sshd_config type tmpfs (rw,relatime,size=16384k)
/dev/loop7 on /opt/root type squashfs (ro,nosuid,nodev,noexec,relatime)
/dev/loop6 on /opt/key type squashfs (ro,nosuid,nodev,noexec,relatime)
/dev/loop5 on /modules type squashfs (ro,nosuid,nodev,noexec,relatime)
proc on /proc type proc (rw,relatime)
sysfs on /sys type sysfs (rw,relatime)
devtmpfs on /dev type devtmpfs (rw,nosuid,relatime,size=10240k,nr_inodes=30345,mode=755)
tmpfs on /tmp type tmpfs (rw,relatime,size=16384k)
tmpfs on /var/log type tmpfs (rw,relatime,size=8192k)
tmpfs on /opt/developer type tmpfs (rw,relatime,size=128k)                                                               
/dev/loop4 on /lib/firmware type squashfs (ro,relatime)                                                                  
tmpfs on /etc/resolv.conf type tmpfs (rw,relatime,size=16384k)                                                           
tmpfs on /var/db/dhcpcd type tmpfs (rw,nosuid,nodev,noexec,relatime,size=512k)                                           
/dev/mmcblk0p4 on /var/db/dhcpcd/duid type ext4 (rw,relatime,data=ordered)                                               
squashfuse on /opt/gui_rootfs/read type fuse.squashfuse (rw,nosuid,nodev,relatime,user_id=0,group_id=0)                  
tmpfs on /run type tmpfs (rw,nodev,relatime,size=25016k,mode=755)                                                        
debugfs on /sys/kernel/debug type debugfs (rw,nosuid,nodev,noexec,relatime)                                              
fusectl on /sys/fs/fuse/connections type fusectl (rw,nosuid,nodev,noexec,relatime)                                       
devpts on /dev/pts type devpts (rw,nosuid,noexec,relatime,gid=5,mode=620)                                                
shm on /dev/shm type tmpfs (rw,nosuid,nodev,noexec,relatime)                                                             
/dev/loop0 on /data/onboard type vfat (rw,nosuid,nodev,noexec,relatime,fmask=0022,dmask=0022,codepage=437,iocharset=iso8)
fuse-overlayfs on /kobo type fuse.fuse-overlayfs (rw,nodev,noatime,user_id=0,group_id=0,default_permissions,allow_other) 
/dev/loop0 on /kobo/mnt/onboard/onboard type vfat (rw,nosuid,nodev,noexec,relatime,fmask=0022,dmask=0022,codepage=437,io)
tmpfs on /kobo/opt/ibxd type tmpfs (rw,nodev,relatime,size=25016k,mode=755)                                              
squashfuse on /opt/isa type fuse.squashfuse (rw,nosuid,nodev,relatime,user_id=0,group_id=0)                              
squashfuse on /kobo/mnt/onboard/.adds/inkbox type fuse.squashfuse (rw,nosuid,nodev,relatime,user_id=0,group_id=0)        
squashfuse on /kobo/mnt/onboard/.adds/qt-linux-5.15.2-kobo type fuse.squashfuse (rw,nosuid,nodev,relatime,user_id=0,grou)
squashfuse on /kobo/mnt/onboard/.adds/Python-3.9.2 type fuse.squashfuse (rw,nosuid,nodev,relatime,user_id=0,group_id=0)  
fuse-overlayfs on /kobo/mnt/onboard/.adds/qt-linux-5.15.2-kobo/plugins/platforms/libkobo.so type fuse.fuse-overlayfs (ro)
sysfs on /kobo/sys type sysfs (rw,relatime)                                                                              
proc on /kobo/proc type proc (rw,relatime)                                                                               
tmpfs on /kobo/tmp type tmpfs (rw,relatime,size=131072k)                                                                 
tmpfs on /kobo/run type tmpfs (rw,relatime,size=131072k)                                                                 
devtmpfs on /kobo/dev type devtmpfs (rw,nosuid,relatime,size=10240k,nr_inodes=30345,mode=755)                            
devpts on /kobo/dev/pts type devpts (rw,nosuid,noexec,relatime,gid=5,mode=620)                                           
fuse-overlayfs on /kobo/external_root type fuse.fuse-overlayfs (ro,nodev,noatime,user_id=0,group_id=0,default_permission)
devtmpfs on /kobo/external_root/dev type devtmpfs (rw,nosuid,relatime,size=10240k,nr_inodes=30345,mode=755)              
devpts on /kobo/external_root/dev/pts type devpts (rw,nosuid,noexec,relatime,gid=5,mode=620)                             
proc on /kobo/external_root/proc type proc (rw,relatime)                                                                 
tmpfs on /kobo/external_root/tmp type tmpfs (rw,relatime,size=16384k)                                                    
tmpfs on /kobo/external_root/run type tmpfs (rw,nodev,relatime,size=25016k,mode=755)                                     
squashfuse on /kobo/external_root/opt/isa type fuse.squashfuse (rw,nosuid,nodev,relatime,user_id=0,group_id=0)           
/dev/loop7 on /kobo/external_root/opt/root type squashfs (ro,nosuid,nodev,noexec,relatime)                               
/dev/mmcblk0p4 on /kobo/external_root/opt/update type ext4 (rw,relatime,data=ordered)                                    
/dev/mmcblk0p4 on /kobo/external_root/opt/storage type ext4 (rw,relatime,data=ordered)                                   
fuse-overlayfs on /kobo/opt/version type fuse.fuse-overlayfs (ro,nodev,noatime,user_id=0,group_id=0,default_permissions,)
fuse-overlayfs on /kobo/bin/kobo_config.sh type fuse.fuse-overlayfs (ro,nodev,noatime,user_id=0,group_id=0,default_permi)
tmpfs on /kobo/external_root/opt/inkbox_device type tmpfs (rw,relatime,size=16384k)                                      
fuse-overlayfs on /kobo/external_root/opt/X11/extensions_folders_list type fuse.fuse-overlayfs (ro,nodev,noatime,user_id)
fuse-overlayfs on /kobo/external_root/opt/X11/extensions_list type fuse.fuse-overlayfs (ro,nodev,noatime,user_id=0,group)
fuse-overlayfs on /kobo/external_root/opt/X11/nographic_extensions_folders_list type fuse.fuse-overlayfs (ro,nodev,noati)
fuse-overlayfs on /kobo/external_root/opt/X11/nographic_extensions_list type fuse.fuse-overlayfs (ro,nodev,noatime,user_)
/dev/mmcblk0p1 on /kobo/external_root/boot type ext4 (rw,relatime,data=ordered)                                          
/dev/loop5 on /kobo/external_root/modules type squashfs (ro,nosuid,nodev,noexec,relatime)                                
tmpfs on /kobo/tmp/resolv.conf type tmpfs (rw,relatime,size=16384k)                                                      
/dev/loop0 on /kobo/mnt/onboard/.adds/inkbox/.config type vfat (rw,nosuid,nodev,noexec,relatime,fmask=0022,dmask=0022,co)
tmpfs on /kobo/inkbox type tmpfs (rw,relatime)                                                                           
kobo:~# 
