========== InkBox binary start at 23/05/2023 @ 12:11:33 ==========
23/05/2023 @ 12:11:33 | main: Running on device n437
23/05/2023 @ 12:11:33 | main: Device has Wi-Fi capabilities
23/05/2023 @ 12:11:35 | sleepThread: Sleep pipe thread active
23/05/2023 @ 12:11:36 | sleepThread: Looking for messages in pipe
23/05/2023 @ 12:11:42 | homePageWidget: Reading database
23/05/2023 @ 12:11:42 | homePageWidget: Reading recent books database
23/05/2023 @ 12:11:42 | homePageWidget: Setting up home page
23/05/2023 @ 12:11:43 | homePageWidget: No books found in pinned books database
23/05/2023 @ 12:11:43 | MainWindow: Checking for available updates
23/05/2023 @ 12:11:43 | MainWindow: checkForUpdate: No update available.
23/05/2023 @ 12:11:44 | MainWindow: Showing USB Mass Storage dialog
23/05/2023 @ 12:11:45 | MainWindow: Setting initial brightness to 10
23/05/2023 @ 12:11:45 | functions: cinematicBrightness: Setting brightness to 10
23/05/2023 @ 12:11:46 | MainWindow: Launching OTA updater
23/05/2023 @ 12:11:47 | otaManager: Checking for available OTA update
23/05/2023 @ 12:11:47 | otaManager: No OTA update available
23/05/2023 @ 12:11:52 | generalDialog: Cancel button clicked
23/05/2023 @ 12:12:17 | wifiDialog: Wi-Fi dialog checkbox clicked: 2
23/05/2023 @ 12:12:17 | wifiDialog: Clicked refresh button
23/05/2023 @ 12:12:17 | wifiDialog: Retrieved network list successfully
23/05/2023 @ 12:12:17 | wifiDialog: Data lines count is below 4; skipping
23/05/2023 @ 12:12:17 | wifiDialog: Found 0 valid networks
23/05/2023 @ 12:12:17 | undefined: No networks found. Trying one more time
23/05/2023 @ 12:12:19 | wifiDialog: Retrieved network list successfully
23/05/2023 @ 12:12:19 | wifiDialog: Data lines count is below 4; skipping
23/05/2023 @ 12:12:19 | wifiDialog: Found 0 valid networks
23/05/2023 @ 12:12:19 | wifiDialog: No networks found, skipping
23/05/2023 @ 12:12:19 | toast: Displaying message 'No networks found'
23/05/2023 @ 12:12:36 | wifiDialog: Wi-Fi dialog checkbox clicked: 0
23/05/2023 @ 12:12:36 | wifiDialog: Turning Wi-Fi off
23/05/2023 @ 12:12:41 | wifiDialog: Clicked refresh button
23/05/2023 @ 12:12:42 | wifiDialog: Retrieved network list successfully
23/05/2023 @ 12:12:43 | wifiDialog: Data lines count is below 4; skipping
23/05/2023 @ 12:12:43 | wifiDialog: Found 0 valid networks
23/05/2023 @ 12:12:43 | undefined: No networks found. Trying one more time
23/05/2023 @ 12:12:44 | wifiDialog: Retrieved network list successfully
23/05/2023 @ 12:12:44 | wifiDialog: Data lines count is below 4; skipping
23/05/2023 @ 12:12:44 | wifiDialog: Found 0 valid networks
23/05/2023 @ 12:12:44 | wifiDialog: No networks found, skipping
23/05/2023 @ 12:12:44 | toast: Displaying message 'No networks found'
23/05/2023 @ 12:12:48 | wifiDialog: Wi-Fi dialog checkbox clicked: 0
23/05/2023 @ 12:12:48 | wifiDialog: Turning Wi-Fi off
23/05/2023 @ 12:12:53 | wifiDialog: Clicked refresh button
23/05/2023 @ 12:12:54 | wifiDialog: Retrieved network list successfully
23/05/2023 @ 12:12:54 | wifiDialog: Data lines count is below 4; skipping
23/05/2023 @ 12:12:54 | wifiDialog: Found 0 valid networks
23/05/2023 @ 12:12:54 | undefined: No networks found. Trying one more time
23/05/2023 @ 12:12:55 | wifiDialog: Retrieved network list successfully
23/05/2023 @ 12:12:55 | wifiDialog: Data lines count is below 4; skipping
23/05/2023 @ 12:12:55 | wifiDialog: Found 0 valid networks
23/05/2023 @ 12:12:55 | wifiDialog: No networks found, skipping
23/05/2023 @ 12:12:55 | toast: Displaying message 'No networks found'
