```
PID   USER     TIME  COMMAND
    1 root      0:05 init
    2 root      0:00 [kthreadd]
    3 root      0:00 [ksoftirqd/0]
    4 root      0:00 [kworker/0:0]
    5 root      0:00 [kworker/0:0H]
    6 root      0:00 [kworker/u2:0]
    7 root      0:00 [rcu_preempt]
    8 root      0:00 [rcu_sched]
    9 root      0:00 [rcu_bh]
   10 root      0:00 [migration/0]
   11 root      0:00 [khelper]
   12 root      0:00 [kdevtmpfs]
   13 root      0:00 [netns]
   14 root      0:00 [perf]
   15 root      0:00 [writeback]
   16 root      0:00 [crypto]
   17 root      0:00 [bioset]
   18 root      0:00 [kblockd]
   19 root      0:00 [irq/162-ricoh61]
   20 root      0:00 [kworker/0:1]
   21 root      0:00 [cfg80211]
   22 root      0:00 [SY7636_INT]
   23 root      0:00 [kswapd0]
   24 root      0:00 [fsnotify_mark]
   43 root      0:00 [kapmd]
   44 root      0:00 [ci_otg]
   45 root      0:00 [irq/32-elan-tou]
   46 root      0:00 [ricoh61x_factor]
   47 root      0:00 [ricoh61x_batter]
   48 root      0:00 [r5t61x_charger_]
   49 root      0:00 [kworker/0:2]
   50 root      0:00 [kworker/0:3]
   51 root      0:00 [kworker/0:4]
   52 root      0:00 [cfinteractive]
   53 root      0:00 [irq/214-mmc1]
   54 root      0:00 [kworker/u2:1]
   55 root      0:00 [irq/215-mmc0]
   56 root      0:02 [mmcqd/0]
   57 root      0:00 [kworker/u3:0]
   58 root      0:00 [EPDC Submit]
   59 root      0:00 [EPDC Interrupt]
   60 root      0:00 [pxp_dispatch]
   61 root      0:00 [deferwq]
   62 root      0:00 [irq/197-imx_the]
   63 root      0:00 {rcS} /bin/sh /etc/init.d/rcS
   64 root      0:00 /etc/init.d/init
   92 root      0:00 [kworker/0:1H]
  115 root      0:00 [jbd2/mmcblk0p2-]
  116 root      0:00 [ext4-rsv-conver]
  125 root      0:00 [kloopd1]
  127 root      0:00 [kworker/u3:1]
  139 root      0:00 [kworker/u3:2]
  140 root      0:00 [kworker/u3:3]
  141 root      0:00 [kworker/u3:4]
  142 root      0:00 [kworker/u3:5]
  143 root      0:00 [kworker/u3:6]
  144 root      0:00 [kworker/u3:7]
  145 root      0:00 [kworker/u3:8]
  146 root      0:00 [kworker/u3:9]
  147 root      0:00 [kworker/u3:10]
  148 root      0:00 [kworker/u3:11]
  149 root      0:00 [kworker/u3:12]
  150 root      0:00 [kworker/u3:13]
  151 root      0:00 [kworker/u3:14]
  152 root      0:00 [kworker/u3:15]
  153 root      0:00 [kworker/u3:16]
  154 root      0:01 /bin/squashfuse -o allow_other /mnt/recoveryfs-part/recove
  157 root      0:00 [jbd2/mmcblk0p1-]
  158 root      0:00 [ext4-rsv-conver]
  160 root      0:00 [kloopd7]
  162 root      0:00 [kloopd6]
  164 root      0:00 [kloopd5]
  220 root      0:00 [kworker/u2:2]
  332 root      0:00 [jbd2/mmcblk0p3-]
  333 root      0:00 [ext4-rsv-conver]
  354 root      0:00 -sh
  357 root      0:00 ps
# 

````
